date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2024-03-31,0.5181347150259048,55.140186915887845,27.551020408163268,7,3,6,16,46,0,49,0,89,61,31,1
2024-04-07,2.072538860103624,55.140186915887845,22.448979591836732,6,4,5,16,50,0,56,13,69,56,32,0
2024-04-14,7.772020725388597,9.345794392523365,23.469387755102048,5,5,15,17,50,0,37,0,52,58,31,0
2024-04-21,3.108808290155443,15.887850467289718,27.551020408163268,7,4,7,17,48,0,37,0,59,61,32,0
2024-04-28,3.626943005181348,28.037383177570092,32.6530612244898,5,4,6,17,52,0,56,0,53,64,34,0
2024-05-05,5.181347150259063,37.38317757009346,43.87755102040817,4,5,6,17,55,0,44,0,75,68,41,0
2024-05-12,10.36269430051813,24.299065420560748,46.938775510204096,7,4,12,19,55,0,48,0,57,69,43,0
2024-05-19,8.29015544041451,38.31775700934579,55.102040816326536,8,4,5,18,58,0,49,0,71,79,41,0
2024-05-26,13.471502590673579,49.532710280373834,45.91836734693878,7,4,7,19,66,0,41,0,91,70,40,1
2024-06-02,17.616580310880824,52.336448598130836,48.9795918367347,9,6,6,20,70,0,52,0,83,73,41,0
2024-06-09,10.36269430051813,17.75700934579439,56.122448979591844,6,3,8,18,62,0,36,0,62,79,42,0
2024-06-16,14.507772020725387,30.8411214953271,38.77551020408163,6,5,5,19,70,0,48,0,64,67,36,1
2024-06-23,6.217616580310882,38.31775700934579,15.306122448979592,6,3,4,16,60,0,54,0,66,52,29,0
2024-06-30,15.025906735751294,28.037383177570092,38.77551020408163,8,5,7,18,68,0,45,0,64,68,36,0
2024-07-07,15.544041450777197,48.598130841121495,40.81632653061226,9,4,8,19,67,0,54,11,66,69,37,0
2024-07-14,16.06217616580311,39.25233644859813,38.77551020408163,7,4,10,19,68,0,39,0,82,67,36,1
2024-07-21,16.06217616580311,42.99065420560748,51.02040816326531,8,4,6,19,71,0,52,0,73,73,43,0
2024-07-28,18.652849740932645,45.794392523364486,47.95918367346938,7,5,7,19,75,0,51,0,77,77,35,1
2024-08-04,14.507772020725387,45.794392523364486,45.91836734693878,5,4,6,18,72,0,56,0,72,69,42,0
2024-08-11,17.616580310880824,41.1214953271028,58.163265306122454,7,3,7,17,77,0,47,0,76,81,41,1
2024-08-18,21.761658031088082,21.49532710280374,56.122448979591844,7,4,6,18,84,0,40,0,62,76,44,1
2024-08-25,19.17098445595855,40.18691588785047,45.91836734693878,8,4,7,18,77,0,52,0,70,71,39,1
2024-09-01,21.24352331606218,47.66355140186916,60.204081632653065,8,4,6,18,82,0,41,12,77,81,44,0
2024-09-08,18.13471502590673,33.64485981308411,57.14285714285714,7,2,4,18,81,0,35,0,80,79,42,1
2024-09-15,20.20725388601036,27.102803738317753,51.02040816326531,12,4,6,17,77,0,45,0,63,76,39,1
2024-09-22,19.689119170984455,23.364485981308412,38.77551020408163,14,3,4,17,77,0,47,0,57,71,33,0
2024-09-29,12.435233160621758,42.05607476635514,31.6326530612245,9,4,4,16,68,0,45,0,79,63,33,1
2024-10-06,13.989637305699482,24.299065420560748,41.836734693877546,7,3,5,17,72,0,37,0,68,71,36,0
2024-10-13,19.689119170984455,20.5607476635514,43.87755102040817,6,5,9,15,80,0,40,0,61,70,39,0
2024-10-20,8.29015544041451,24.299065420560748,33.673469387755105,6,3,5,16,63,0,43,0,62,67,32,0
2024-10-27,5.181347150259063,44.85981308411215,33.673469387755105,5,2,3,15,62,0,53,10,64,65,34,0
2024-11-03,8.29015544041451,32.71028037383177,44.897959183673464,7,4,6,15,61,0,43,9,62,69,41,0
2024-11-10,12.435233160621758,53.271028037383175,56.122448979591844,6,3,8,16,68,0,53,12,71,76,45,0
2024-11-17,11.917098445595855,43.925233644859816,60.204081632653065,7,5,6,19,63,0,42,0,84,77,47,1
2024-11-24,10.36269430051813,9.345794392523365,44.897959183673464,8,4,5,18,62,0,38,0,51,69,41,0
2024-12-01,7.253886010362691,27.102803738317753,40.81632653061226,6,5,5,16,59,0,52,0,56,65,41,0
2024-12-08,7.772020725388597,30.8411214953271,32.6530612244898,6,3,6,15,62,0,52,0,60,64,34,0
2024-12-15,10.36269430051813,23.364485981308412,34.69387755102042,8,4,7,17,61,0,54,0,50,64,36,0
2024-12-22,5.699481865284977,37.38317757009346,18.367346938775512,6,2,6,14,60,0,53,0,66,54,30,0
2024-12-29,9.844559585492226,40.18691588785047,36.734693877551024,7,2,7,18,62,0,47,0,75,66,36,0
2025-01-05,9.844559585492226,45.794392523364486,68.36734693877553,6,3,5,18,64,0,57,0,71,85,47,1
2025-01-12,13.989637305699482,9.345794392523365,70.40816326530613,6,4,8,17,69,0,34,0,55,87,48,0
2025-01-19,8.29015544041451,11.214953271028037,70.40816326530613,6,4,6,16,61,0,33,0,58,88,47,0
2025-01-26,10.36269430051813,31.775700934579437,56.122448979591844,6,3,6,18,64,0,47,0,66,79,42,0
2025-02-02,9.844559585492226,34.57943925233645,62.24489795918369,6,4,6,17,63,0,47,0,69,78,48,1
2025-02-09,7.772020725388597,17.75700934579439,55.102040816326536,5,3,7,15,62,0,43,0,55,74,45,1
2025-02-16,9.844559585492226,30.8411214953271,64.28571428571429,5,4,5,19,63,0,36,11,65,80,49,0
2025-02-23,8.808290155440416,54.20560747663551,52.04081632653062,5,4,5,17,63,0,57,0,80,70,46,1
2025-03-02,7.253886010362691,33.64485981308411,46.938775510204096,5,5,6,17,58,0,42,0,73,69,42,1
2025-03-09,9.326424870466319,27.102803738317753,47.95918367346938,5,2,6,18,64,0,46,0,62,72,40,1
2025-03-16,12.953367875647665,36.44859813084112,48.9795918367347,7,5,6,17,67,0,49,0,69,72,42,0
2025-03-23,12.953367875647665,38.31775700934579,44.897959183673464,7,4,6,19,66,0,47,0,73,72,38,0
